id,age,sex_label,education_label,marriage_label,limit_bal,utilization,max_delay,n_months_delayed,delay_trend,default_next_month
1,24,Female,University,Married,20000,0.1956,2,2,4,1
2,26,Female,University,Single,120000,0.0223,2,2,-3,1
3,34,Female,University,Single,90000,0.3249,0,0,0,0
4,37,Female,University,Married,50000,0.9398,0,0,0,0
5,57,Male,University,Married,50000,0.1723,0,0,-1,0
6,37,Male,Graduate school,Single,50000,1.288,0,0,0,0
7,29,Male,Graduate school,Single,500000,0.7359,0,0,0,0
8,23,Female,University,Single,100000,0.1188,0,0,1,0
9,28,Female,High school,Married,140000,0.0806,2,1,0,0
10,35,Male,High school,Single,20000,0.0,-1,0,-1,0
11,34,Female,High school,Single,200000,0.0554,2,1,1,0
12,51,Female,Graduate school,Single,260000,0.0472,2,1,-3,0
13,41,Female,University,Single,630000,0.0193,0,0,0,0
14,30,Male,University,Single,70000,0.94,2,4,-1,1
15,29,Male,Graduate school,Single,250000,0.2835,0,0,0,0
16,23,Female,High school,Others,50000,1.0123,2,2,1,0
17,24,Male,Graduate school,Single,20000,0.7688,2,4,-2,1
18,49,Male,Graduate school,Married,320000,0.7915,0,0,1,0
19,49,Female,Graduate school,Married,360000,0.0,1,1,3,0
20,29,Female,Graduate school,Single,180000,0.0,1,1,3,0
21,39,Female,High school,Single,130000,0.2951,0,0,1,0
22,39,Female,University,Married,120000,0.0026,-1,0,0,1
23,26,Female,University,Single,70000,0.587,2,4,0,1
24,40,Female,Graduate school,Married,450000,0.0122,-2,0,0,1
25,23,Male,Graduate school,Single,90000,0.0527,0,0,0,0
26,23,Male,High school,Single,50000,0.9524,0,0,0,0
27,27,Male,Graduate school,Single,60000,0.0,1,1,2,1
28,30,Female,High school,Single,50000,0.4508,0,0,0,0
29,47,Female,High school,Married,50000,0.013,-1,0,0,0
30,26,Male,Graduate school,Single,50000,0.3066,0,0,0,0
31,27,Female,Graduate school,Single,230000,0.0724,-1,0,0,0
32,33,Male,University,Single,50000,0.6104,2,1,2,1
33,32,Male,Graduate school,Single,100000,0.9304,0,0,0,0
34,54,Female,University,Married,500000,0.0219,-2,0,0,0
35,58,Male,Graduate school,Married,500000,0.0274,-2,0,0,0
36,30,Male,Graduate school,Single,160000,0.1892,-1,0,0,0
37,40,Male,University,Married,280000,0.6661,0,0,0,0
38,22,Female,University,Single,60000,0.2509,0,0,1,0
39,25,Male,Graduate school,Single,50000,0.0,1,1,3,1
40,31,Male,Graduate school,Single,280000,0.0018,2,1,0,0
41,33,Male,Graduate school,Single,360000,0.6074,0,0,0,0
42,25,Female,Graduate school,Single,70000,0.9646,0,0,0,0
43,22,Male,University,Single,10000,0.1877,0,0,0,0
44,37,Female,University,Married,140000,0.425,0,0,0,0
45,30,Female,Graduate school,Single,40000,0.4732,2,1,0,0
46,29,Male,Graduate school,Single,210000,0.0,-2,0,0,1
47,22,Female,Graduate school,Single,20000,0.7014,2,1,0,1
48,46,Female,Others,Single,150000,0.0298,0,0,2,1
49,32,Male,University,Single,380000,0.059,-1,0,0,0
50,24,Male,Graduate school,Single,20000,0.8724,0,0,0,0
51,42,Male,High school,Single,70000,0.5292,2,5,1,1
52,43,Female,High school,Others,100000,0.6156,0,0,0,0
53,49,Female,University,Married,310000,0.0434,-2,0,0,0
54,25,Female,Graduate school,Single,180000,0.23,2,2,1,0
55,29,Female,Graduate school,Single,150000,0.3082,2,1,2,0
56,45,Female,Graduate school,Married,500000,0.0038,-2,0,0,0
57,34,Female,High school,Married,180000,0.091,0,0,1,0
58,34,Female,University,Married,180000,0.9771,0,0,0,0
59,34,Female,Graduate school,Single,200000,0.0079,3,5,-3,0
60,29,Female,University,Married,400000,1.0003,0,0,0,0
61,28,Female,High school,Married,500000,0.0457,0,0,0,1
62,39,Male,University,Married,70000,1.0114,0,0,1,0
63,29,Male,Graduate school,Single,50000,0.4997,2,6,0,1
64,46,Female,University,Married,50000,0.5744,0,0,2,1
65,51,Female,University,Married,130000,0.0008,-1,0,0,0
66,57,Male,Graduate school,Married,200000,0.7626,2,2,-4,1
67,56,Male,University,Married,10000,0.2097,2,3,2,1
68,30,Female,Graduate school,Single,210000,0.0014,2,1,3,0
69,29,Female,High school,Single,130000,0.0,2,2,2,0
70,22,Male,Others,Single,20000,0.9282,2,1,2,0
71,31,Male,Graduate school,Single,80000,0.0098,-1,0,0,0
72,29,Male,University,Single,320000,0.1821,2,6,0,1
73,32,Female,University,Married,200000,0.0454,2,1,0,0
74,37,Female,Graduate school,Single,290000,0.0,1,1,2,0
75,32,Male,Graduate school,Single,340000,0.009,-1,0,0,0
76,24,Male,University,Single,20000,0.731,2,1,0,0
77,25,Male,High school,Single,50000,0.8568,0,0,-1,0
78,45,Female,Graduate school,Married,300000,0.001,-1,0,0,0
79,22,Female,University,Single,30000,0.9462,0,0,0,1
80,44,Female,University,Single,240000,0.0,1,1,3,1
81,33,Female,High school,Others,470000,0.3516,0,0,0,0
82,26,Female,Graduate school,Single,360000,0.065,0,0,1,0
83,30,Male,High school,Single,60000,0.4387,0,0,0,1
84,44,Female,University,Married,400000,0.329,2,1,0,0
85,49,Female,High school,Single,50000,0.9782,0,0,0,0
86,33,Male,University,Single,160000,0.8127,0,0,0,0
87,45,Female,Graduate school,Married,360000,0.0011,2,1,0,1
88,32,Female,University,Single,160000,0.0239,0,0,1,0
89,35,Female,Graduate school,Married,130000,0.6255,0,0,1,0
90,44,Male,High school,Single,20000,0.4292,2,3,0,0
91,53,Male,Graduate school,Married,200000,0.6909,2,6,0,1
92,39,Female,Graduate school,Single,280000,0.0269,0,0,1,0
93,27,Female,Graduate school,Single,100000,0.0,-2,0,0,0
94,37,Female,University,Married,160000,0.0055,-1,0,1,0
95,23,Female,University,Single,60000,0.7608,0,0,0,0
